(datetime.datetime(2020, 5, 24, 0, 13, 19), (27.7381, 111.3454))
(datetime.datetime(2020, 5, 24, 0, 13, 20), (27.73815, 111.345357))
(datetime.datetime(2020, 5, 24, 0, 13, 21), (27.738166, 111.345278))
(datetime.datetime(2020, 5, 24, 0, 13, 22), (27.738219, 111.345169))
(datetime.datetime(2020, 5, 24, 0, 13, 23), (27.738291, 111.345067))
(datetime.datetime(2020, 5, 24, 0, 13, 24), (27.738311, 111.344986))
(datetime.datetime(2020, 5, 24, 0, 13, 25), (27.738317, 111.344935))
(datetime.datetime(2020, 5, 24, 0, 13, 26), (27.738328, 111.344888))
(datetime.datetime(2020, 5, 24, 0, 13, 27), (27.738392, 111.344799))
(datetime.datetime(2020, 5, 24, 0, 13, 28), (27.738423, 111.344727))
(datetime.datetime(2020, 5, 24, 0, 13, 29), (27.738499, 111.344652))
(datetime.datetime(2020, 5, 24, 0, 13, 30), (27.738545, 111.344568))
(datetime.datetime(2020, 5, 24, 0, 13, 31), (27.738615, 111.344467))
(datetime.datetime(2020, 5, 24, 0, 13, 32), (27.738646, 111.34439))
(datetime.datetime(2020, 5, 24, 0, 13, 33), (27.738748, 111.344277))
(datetime.datetime(2020, 5, 24, 0, 13, 34), (27.738818, 111.344198))
(datetime.datetime(2020, 5, 24, 0, 13, 35), (27.738886, 111.344105))
(datetime.datetime(2020, 5, 24, 0, 13, 36), (27.738943, 111.343995))
(datetime.datetime(2020, 5, 24, 0, 13, 37), (27.738943, 111.343929))
(datetime.datetime(2020, 5, 24, 0, 13, 38), (27.738987, 111.343839))
(datetime.datetime(2020, 5, 24, 0, 13, 39), (27.739045, 111.34375))
(datetime.datetime(2020, 5, 24, 0, 13, 40), (27.739079, 111.343675))
(datetime.datetime(2020, 5, 24, 0, 13, 41), (27.739115, 111.34362))
(datetime.datetime(2020, 5, 24, 0, 13, 42), (27.739166, 111.343551))
(datetime.datetime(2020, 5, 24, 0, 13, 43), (27.739186, 111.343489))
(datetime.datetime(2020, 5, 24, 0, 13, 44), (27.739242, 111.343381))
(datetime.datetime(2020, 5, 24, 0, 13, 45), (27.739292, 111.343287))
(datetime.datetime(2020, 5, 24, 0, 13, 46), (27.739275, 111.343217))
(datetime.datetime(2020, 5, 24, 0, 13, 47), (27.739297, 111.343159))
(datetime.datetime(2020, 5, 24, 0, 13, 48), (27.739341, 111.34304))
(datetime.datetime(2020, 5, 24, 0, 13, 49), (27.739377, 111.342938))
(datetime.datetime(2020, 5, 24, 0, 13, 50), (27.73938, 111.34289))
(datetime.datetime(2020, 5, 24, 0, 13, 51), (27.739405, 111.342819))
(datetime.datetime(2020, 5, 24, 0, 13, 52), (27.739442, 111.342742))
(datetime.datetime(2020, 5, 24, 0, 13, 53), (27.739477, 111.342664))
(datetime.datetime(2020, 5, 24, 0, 13, 54), (27.739557, 111.342615))
(datetime.datetime(2020, 5, 24, 0, 13, 55), (27.739647, 111.342492))
(datetime.datetime(2020, 5, 24, 0, 13, 56), (27.739678, 111.34239))
(datetime.datetime(2020, 5, 24, 0, 13, 57), (27.739737, 111.342317))
(datetime.datetime(2020, 5, 24, 0, 13, 58), (27.739815, 111.342217))
(datetime.datetime(2020, 5, 24, 0, 13, 59), (27.739861, 111.342151))
(datetime.datetime(2020, 5, 24, 0, 14), (27.739862, 111.34208))
(datetime.datetime(2020, 5, 24, 0, 14, 1), (27.739917, 111.341961))
(datetime.datetime(2020, 5, 24, 0, 14, 2), (27.73994, 111.341853))
(datetime.datetime(2020, 5, 24, 0, 14, 3), (27.739977, 111.341797))
(datetime.datetime(2020, 5, 24, 0, 14, 4), (27.740058, 111.3417))
(datetime.datetime(2020, 5, 24, 0, 14, 5), (27.74013, 111.341512))
(datetime.datetime(2020, 5, 24, 0, 14, 6), (27.740191, 111.341431))
(datetime.datetime(2020, 5, 24, 0, 14, 7), (27.740154, 111.341395))
(datetime.datetime(2020, 5, 24, 0, 14, 9), (27.740216, 111.341287))
(datetime.datetime(2020, 5, 24, 0, 14, 10), (27.740212, 111.341203))
(datetime.datetime(2020, 5, 24, 0, 14, 11), (27.740227, 111.34113))
(datetime.datetime(2020, 5, 24, 0, 14, 12), (27.740252, 111.341062))
(datetime.datetime(2020, 5, 24, 0, 14, 13), (27.740323, 111.340918))
(datetime.datetime(2020, 5, 24, 0, 14, 14), (27.740334, 111.34086))
(datetime.datetime(2020, 5, 24, 0, 14, 15), (27.74039, 111.340737))
(datetime.datetime(2020, 5, 24, 0, 14, 16), (27.740423, 111.340668))
(datetime.datetime(2020, 5, 24, 0, 14, 17), (27.740503, 111.340548))
(datetime.datetime(2020, 5, 24, 0, 14, 18), (27.740504, 111.340476))
(datetime.datetime(2020, 5, 24, 0, 14, 19), (27.740509, 111.340381))
(datetime.datetime(2020, 5, 24, 0, 14, 20), (27.740505, 111.340318))
(datetime.datetime(2020, 5, 24, 0, 14, 21), (27.740518, 111.340212))
(datetime.datetime(2020, 5, 24, 0, 14, 22), (27.740532, 111.340133))
(datetime.datetime(2020, 5, 24, 0, 14, 23), (27.740533, 111.340063))
(datetime.datetime(2020, 5, 24, 0, 14, 24), (27.740547, 111.33997))
(datetime.datetime(2020, 5, 24, 0, 14, 25), (27.740556, 111.339866))
(datetime.datetime(2020, 5, 24, 0, 14, 26), (27.740558, 111.339788))
(datetime.datetime(2020, 5, 24, 0, 14, 27), (27.74055, 111.339701))
(datetime.datetime(2020, 5, 24, 0, 14, 28), (27.740572, 111.339616))
(datetime.datetime(2020, 5, 24, 0, 14, 29), (27.740595, 111.339518))
(datetime.datetime(2020, 5, 24, 0, 14, 30), (27.740602, 111.33945))
