((27.740694, 111.336574), 116)
((27.740703, 111.336505), 115)
((27.740734, 111.336396), 114)
((27.740705, 111.33633), 113)
((27.740704, 111.336273), 113)
((27.740713, 111.336193), 114)
((27.740692, 111.336135), 114)
((27.74072, 111.336053), 115)
((27.740712, 111.335967), 116)
((27.740722, 111.335878), 116)
((27.740753, 111.335785), 117)
((27.740769, 111.335693), 117)
((27.740761, 111.335621), 119)
((27.740781, 111.335532), 120)
((27.740804, 111.335458), 122)
((27.740807, 111.335369), 123)
((27.740806, 111.33525), 124)
((27.740805, 111.335159), 124)
((27.740809, 111.335085), 124)
((27.74079, 111.335002), 124)
((27.740789, 111.334918), 125)
((27.740783, 111.334827), 124)
((27.740777, 111.334745), 122)
((27.740755, 111.334654), 121)
((27.740735, 111.334577), 121)
((27.74073, 111.334497), 121)
((27.740721, 111.334416), 121)
((27.740701, 111.334342), 120)
((27.740684, 111.334254), 120)
((27.740651, 111.334172), 119)
((27.740631, 111.334086), 117)
((27.740609, 111.334001), 117)
((27.740584, 111.333914), 116)
((27.740558, 111.333835), 117)
((27.740538, 111.333765), 117)
((27.740502, 111.333684), 117)
((27.740486, 111.333587), 117)
((27.740463, 111.333515), 118)
((27.740455, 111.333446), 121)
((27.740428, 111.333361), 122)
((27.740422, 111.333268), 122)
((27.740373, 111.333183), 122)
((27.740349, 111.33309), 122)
((27.740316, 111.333003), 122)
((27.740294, 111.332927), 122)
((27.740245, 111.332839), 122)
((27.740213, 111.332749), 122)
((27.740173, 111.332667), 123)
((27.740142, 111.332577), 124)
((27.740112, 111.332502), 125)
((27.740081, 111.332415), 125)
((27.740059, 111.332337), 125)
((27.740033, 111.332259), 125)
((27.74001, 111.33218), 125)
((27.739975, 111.332106), 125)
((27.739948, 111.332012), 128)
((27.739932, 111.331918), 131)
((27.739904, 111.331836), 132)
((27.739885, 111.33175), 133)
((27.739879, 111.331665), 134)
((27.739864, 111.331575), 134)
((27.739839, 111.3315), 134)
((27.739837, 111.331424), 134)
((27.739795, 111.331372), 134)
((27.739795, 111.331279), 134)
((27.739758, 111.33122), 134)
((27.739729, 111.331161), 134)
((27.739706, 111.331098), 135)
((27.739696, 111.331032), 135)
((27.739673, 111.330958), 135)
((27.739642, 111.330896), 135)
((27.739628, 111.33082), 135)
((27.739607, 111.330746), 132)
((27.739597, 111.330654), 133)
((27.7396, 111.330588), 133)
((27.739573, 111.330512), 133)
((27.73954, 111.330446), 133)
((27.739514, 111.330377), 133)
((27.739497, 111.330302), 133)
((27.739464, 111.330254), 133)
((27.739442, 111.330175), 133)
((27.739414, 111.33012), 133)
((27.739414, 111.330071), 133)
((27.7394, 111.33001), 134)
((27.739384, 111.329952), 134)
((27.739366, 111.329908), 135)
((27.739386, 111.329858), 135)
((27.739406, 111.329822), 135)
((27.739459, 111.329755), 136)
((27.739521, 111.329744), 136)
((27.739557, 111.329727), 137)
((27.739618, 111.329659), 137)
((27.739587, 111.329721), 134)
((27.739669, 111.329694), 133)
((27.739759, 111.329633), 132)
((27.73983, 111.329564), 131)
((27.739917, 111.329648), 132)
((27.739986, 111.329648), 133)
((27.740044, 111.329649), 135)
((27.740105, 111.329652), 140)
((27.740179, 111.329655), 141)
((27.740237, 111.329658), 142)
((27.740291, 111.32965), 143)
((27.740371, 111.32963), 143)
((27.740438, 111.329611), 143)
((27.740512, 111.329654), 143)
((27.740587, 111.329646), 142)
((27.740663, 111.32965), 142)
((27.740733, 111.329653), 142)
((27.740799, 111.329647), 142)
((27.740874, 111.329642), 142)
((27.740932, 111.329635), 142)
((27.741004, 111.329623), 142)
((27.74108, 111.329619), 142)
((27.741165, 111.32961), 142)
((27.741242, 111.329596), 142)
((27.741322, 111.329582), 142)
((27.741397, 111.329623), 142)
((27.741464, 111.329622), 142)
((27.74154, 111.329619), 142)
((27.741618, 111.32961), 142)
((27.741694, 111.329614), 142)
((27.741745, 111.329613), 143)
((27.741811, 111.329616), 144)
((27.741888, 111.32961), 144)
((27.741946, 111.329609), 145)
((27.74202, 111.32961), 145)
((27.742079, 111.329608), 145)
((27.742128, 111.329608), 145)
((27.74219, 111.329611), 146)
((27.742256, 111.329577), 146)
((27.742322, 111.329592), 146)
((27.742378, 111.329599), 145)
((27.742444, 111.329622), 144)
((27.742524, 111.329601), 143)
((27.742586, 111.329619), 143)
((27.742645, 111.329627), 143)
((27.742709, 111.329622), 143)
((27.742776, 111.329628), 142)
((27.74284, 111.329627), 142)
((27.742901, 111.329633), 142)
((27.742974, 111.329637), 142)
((27.743021, 111.32962), 142)
((27.743092, 111.329611), 142)
((27.743164, 111.329605), 142)
((27.743214, 111.329607), 142)
((27.743285, 111.32961), 142)
((27.743346, 111.329607), 142)
((27.743415, 111.3296), 142)
((27.743478, 111.329595), 142)
((27.74354, 111.329591), 142)
((27.743597, 111.329592), 142)
((27.743654, 111.329592), 142)
((27.74372, 111.329586), 142)
((27.743781, 111.329589), 142)
((27.743848, 111.329589), 142)
((27.743909, 111.329595), 141)
((27.743986, 111.329586), 141)
((27.744056, 111.329581), 141)
((27.744111, 111.329581), 140)
((27.744179, 111.329567), 140)
((27.744234, 111.329562), 141)
((27.744306, 111.329569), 141)
((27.74436, 111.329587), 141)
((27.744412, 111.329587), 141)
((27.744469, 111.329581), 141)
((27.744533, 111.329565), 141)
((27.744595, 111.32957), 141)
((27.744656, 111.329565), 141)
((27.744708, 111.32958), 141)
((27.744772, 111.32958), 141)
((27.744846, 111.329571), 141)
((27.744891, 111.329592), 141)
((27.74496, 111.329611), 141)
((27.745029, 111.329612), 141)
((27.745086, 111.329608), 141)
((27.745135, 111.329604), 141)
((27.745197, 111.329607), 140)
((27.745257, 111.32961), 140)
((27.745317, 111.329609), 140)
((27.745373, 111.329604), 141)
((27.745447, 111.329608), 142)
((27.745512, 111.329606), 143)
((27.745573, 111.329605), 144)
((27.745614, 111.329619), 144)
((27.745675, 111.329618), 143)
((27.74573, 111.329625), 143)
((27.745783, 111.32962), 143)
((27.745851, 111.329612), 143)
((27.745912, 111.329608), 143)
((27.745983, 111.329612), 143)
((27.746043, 111.329609), 144)
((27.746103, 111.329607), 146)
((27.746168, 111.329611), 146)
((27.746217, 111.3296), 146)
((27.746266, 111.329598), 146)
((27.746306, 111.329594), 146)
((27.746367, 111.329594), 145)
((27.74642, 111.329599), 146)
((27.746461, 111.329598), 145)
((27.746511, 111.329601), 145)
((27.746563, 111.329602), 146)
((27.746619, 111.329599), 145)
((27.746672, 111.329602), 145)
((27.746723, 111.329606), 144)
((27.746769, 111.3296), 144)
((27.74681, 111.329603), 144)
((27.746868, 111.3296), 144)
((27.746923, 111.329603), 146)
((27.746981, 111.329592), 146)
((27.747033, 111.329594), 146)
((27.747093, 111.32958), 148)
((27.747152, 111.329578), 148)
((27.747198, 111.329588), 148)
((27.747268, 111.329597), 148)
((27.74733, 111.329605), 147)
((27.747404, 111.329601), 147)
((27.747462, 111.329621), 147)
((27.747528, 111.329634), 147)
((27.747593, 111.329641), 147)
((27.747647, 111.329639), 147)
((27.747692, 111.329631), 147)
((27.747751, 111.329626), 147)
((27.747815, 111.329607), 147)
((27.747872, 111.32961), 148)
((27.747926, 111.329617), 147)
((27.747991, 111.329611), 147)
((27.74805, 111.329617), 147)
((27.748104, 111.329621), 147)
((27.748159, 111.329621), 147)
((27.748234, 111.329656), 147)
((27.748292, 111.32964), 146)
((27.748354, 111.329629), 146)
((27.748407, 111.329617), 146)
((27.748464, 111.329624), 146)
((27.748527, 111.329614), 146)
((27.748587, 111.329622), 146)
((27.748632, 111.329633), 146)
((27.74868, 111.329637), 146)
((27.748728, 111.329651), 145)
((27.74878, 111.329657), 145)
((27.748823, 111.32966), 145)
((27.748883, 111.329647), 145)
((27.748933, 111.329628), 145)
((27.748989, 111.32963), 145)
((27.749032, 111.329622), 145)
((27.749071, 111.32964), 145)
((27.749129, 111.329626), 145)
((27.749174, 111.32962), 145)
((27.749229, 111.329626), 145)
((27.749288, 111.329633), 145)
((27.749342, 111.329626), 145)
((27.749402, 111.329608), 145)
((27.74945, 111.329624), 145)
((27.749517, 111.329594), 145)
((27.74956, 111.329597), 145)
((27.749619, 111.329602), 145)
((27.749675, 111.329603), 144)
((27.749741, 111.329613), 144)
((27.749801, 111.329584), 144)
((27.749857, 111.329575), 143)
((27.749902, 111.329581), 143)
((27.749951, 111.329581), 143)
((27.75003, 111.329577), 143)
((27.7501, 111.329587), 143)
((27.750153, 111.329588), 143)
((27.750209, 111.329578), 144)
((27.750274, 111.329584), 144)
((27.750324, 111.329587), 144)
((27.750377, 111.329584), 144)
((27.750437, 111.329573), 144)
((27.750489, 111.32958), 143)
((27.750559, 111.329597), 142)
((27.750608, 111.329604), 142)
((27.750662, 111.329617), 142)
((27.750711, 111.329638), 142)
((27.750758, 111.329652), 141)
((27.750825, 111.329632), 140)
((27.750881, 111.329653), 140)
((27.750949, 111.329639), 141)
((27.751015, 111.329624), 142)
((27.751076, 111.329615), 141)
((27.751133, 111.329628), 141)
